"sourceNode","targetNode"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/pop/lib/graceful.js:<26,12>--<32,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<183,1>--<183,9>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<35,3>--<35,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/pop/lib/graceful.js:<26,12>--<32,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<625,1>--<625,12>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<659,1>--<659,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<693,1>--<693,20>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<736,1>--<736,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<770,1>--<770,14>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<804,1>--<804,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<838,1>--<838,14>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<872,1>--<872,15>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<906,1>--<906,15>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
